X,Y,Z,Length
45840.695,378574.977,1.767,17.192088749621746
45840.845,378575.009,1.808,17.34546410618483
45849.224,378561.819,1.845,32.97184375727724
45851.171,378551.528,1.799,43.44540523370668
45850.018,378543.734,1.757,51.32422779801958
45849.999,378543.726,1.735,51.344843326130515
45850.067,378553.967,1.834,61.586069082825354
45850.068,378554.057,1.827,61.67607463817682
45851.337,378545.768,1.776,70.06165046812617
45852.139,378537.987,1.708,77.88387297834458
45852.183,378535.023,0.726,80.84819954608552
45853.017,378524.277,1.345,91.62651444219401
45854.732,378515.078,0.879,100.98401549751985
45856.073,378507.908,0.522,108.27834075759344
45857.172,378495.49,-0.154,120.744876964581
45856.935,378478.136,-1.205,138.66814068497098
45840.716,378490.694,-0.544,159.18055948433232
45840.303,378486.098,-0.835,163.79507841919218
45840.248,378482.307,-1.065,167.5864773694744
45838.536,378555.673,1.777,240.972449462277
45842.095,378581.963,1.715,414.134475933875
45842.095,378581.963,1.715,414.134475933875
45842.095,378581.963,1.715,414.134475933875
45848.162,378569.741,1.834,427.7794666997261
45848.162,378569.741,1.834,427.7794666997261
45848.162,378569.741,1.834,427.7794666997261
45848.162,378569.741,1.834,427.7794666997261
45855.181,378554.592,1.874,444.4755309664708
45855.181,378554.592,1.874,444.4755309664708
45855.181,378554.592,1.874,444.4755309664708
45855.181,378554.592,1.874,444.4755309664708
45855.187,378554.575,1.87,444.4935587228415
45855.187,378554.575,1.87,444.4935587228415
45855.187,378554.575,1.87,444.4935587228415
45855.187,378554.575,1.87,444.4935587228415
45855.187,378554.575,1.87,444.4935587228415
45853.041,378535.77,1.667,463.4206118743424
45853.041,378535.77,1.667,463.4206118743424
45853.041,378535.77,1.667,463.4206118743424
45853.041,378535.77,1.667,463.4206118743424
45853.041,378535.77,1.667,463.4206118743424
45853.041,378535.77,1.667,463.4206118743424
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.714,378510.264,0.661,488.96110844351045
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45851.152,378498.297,0.021,500.9412976323379
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
45849.882,378477.448,-1.25,521.8289423296683
